sample	weighted_NSTI
SRR6267379	0.16307881164629798
SRR6267380	0.2738180228585809
SRR6267381	0.07180898849084881
SRR6267382	0.18015000439965134
SRR6267383	0.1553031033473796
SRR6267384	0.1874278755195188
SRR6267385	0.1435686817545345
SRR6267386	0.08862930773636704
SRR6267387	0.04930064743894565
SRR6267388	0.2555538696038166
SRR6267389	0.3753995580316913
SRR6267390	0.16711529330790653
SRR6267391	0.15344595709674472
SRR6267392	0.2484742036629648
SRR6267393	0.17234699060624523
SRR6267394	0.30130453002159147
SRR6267395	0.3105312029009419
SRR6267396	0.08392459744510318
SRR6267397	0.07042403204131374
SRR6267398	0.19209142702109722
SRR6267399	0.22088436936150324
SRR6267400	0.105078282830356
SRR6267401	0.16602562344287775
SRR6267402	0.1371423924157133
SRR6267403	0.03822022524862988
SRR6267404	0.20164830309045292
SRR6267405	0.09677819654332948
SRR6267406	0.22381513653129506
SRR6267407	0.16069552406567442
SRR6267408	0.2372978710029983
SRR6267409	0.14494141373191985
SRR6267410	0.24980644833868895
SRR6267411	0.09293263528382523
SRR6267412	0.20596121577774265
SRR6267413	0.18302857164318329
SRR6267414	0.14193412097181043
SRR6267415	0.07211626496422334
SRR6267416	0.150780325384995
SRR6267417	0.0972081966952255
SRR6267418	0.1552916418329342
SRR6267419	0.09325278688362047
SRR6267420	0.09838812568433834
SRR6267421	0.14300387858212177
SRR6267422	0.1720622456271354
SRR6267423	0.07736286658036748
SRR6267424	0.25008378761472394
SRR6267425	0.12685006670767712
SRR6267426	0.21293212385782392
SRR6267427	0.14679552343561034
SRR6267428	0.14298327669771668
SRR6267429	0.07662706637673349
SRR6267430	0.18957996228404284
SRR6267431	0.1866721126572339
SRR6267432	0.337107851645082
SRR6267433	0.19350760077658358
SRR6267434	0.14668025574078306
SRR6267435	0.0932207252997345
SRR6267436	0.0839990546894291
SRR6267437	0.20662691180324874
SRR6267438	0.3063059372342604
SRR6267439	0.09637890114324586
SRR6267440	0.11697457141788795
SRR6267441	0.20570210994854649
SRR6267442	0.09912833752549798
SRR6267443	0.17891103878825923
SRR6267444	0.24081774676266812
SRR6267445	0.13564779212753353
SRR6267446	0.17372650917647608
SRR6267447	0.06340176966015708
SRR6267448	0.2245288117685462
SRR6267449	0.11406175326184252
SRR6267450	0.11394536463435584
SRR6267451	0.07004842415154444
SRR6267452	0.06825442242054676
SRR6267453	0.07449451697180791
SRR6267454	0.08456210981666787
SRR6267455	0.10040673992557993
SRR6267456	0.2806010042007421
SRR6267457	0.05837674886671525
SRR6267458	0.18902147164943464
SRR6267459	0.14201211115228518
SRR6267460	0.019537399673633167
SRR6267461	0.11181723252810907
SRR6267462	0.15768316588481007
SRR6267463	0.09878693668178845
SRR6267464	0.13164541234113478
SRR6267465	0.08697276649234315
SRR6267466	0.11133993754753226
SRR6267467	0.0981908353179196
SRR6267468	0.08511796421408074
SRR6267469	0.055691588782176345
SRR6267470	0.10532126452549906
SRR6267471	0.26667765247464226
SRR6267472	0.2729370841464185
SRR6267473	0.05222663106817805
SRR6267474	0.16623704321751742
SRR6267475	0.1379602868440459
SRR6267476	0.04314979753455671
SRR6267477	0.15791385148065232
SRR6267478	0.07834937650572243
SRR6267479	0.05742681886209492
SRR6267480	0.08910646967017749
SRR6267481	0.13997202695202965
SRR6267482	0.09895318443271334
SRR6267483	0.18566388703345224
SRR6267484	0.16690475850786513
SRR6267485	0.1359932000637363
SRR6267486	0.20333783734935557
SRR6267487	0.17098129818892227
SRR6267488	0.15538256762973685
SRR6267489	0.11593195023520501
SRR6267490	0.057874765785191
SRR6267491	0.05011642552496365
SRR6267492	0.1267487506523264
SRR6267493	0.15822727635592726
SRR6267494	0.08059425572939086
SRR6267495	0.051402506876635126
SRR6267496	0.21839555441678876
SRR6267497	0.03792950077922427
SRR6267498	0.0877982408863139
SRR6267499	0.26283599586822354
SRR6267500	0.25941707339355674
SRR6267501	0.188168623485947
SRR6267502	0.23729012347514933
SRR6267503	0.05599815826182729
SRR6267504	0.25919161525902984
SRR6267505	0.16451586196770004
SRR6267506	0.09381367374464515
SRR6267507	0.11597087264441433
SRR6267508	0.16896110863824407
SRR6267509	0.2119421926466743
SRR6267510	0.1291049460252063
SRR6267511	0.20560847558043815
SRR6267512	0.17212211548475323
SRR6267513	0.17500847399563388
SRR6267514	0.16681860224580655
SRR6267515	0.14044193018903275
SRR6267516	0.13706946410553722
SRR6267517	0.15371687418048385
SRR6267518	0.20032087450777022
SRR6267519	0.10929143279232788
SRR6267520	0.16531488341016787
SRR6267521	0.2032073450653961
SRR6267522	0.11908798283795491
SRR6267523	0.370601120525969
SRR6267524	0.20293987258555377
SRR6267525	0.030853548160470666
SRR6267526	0.07113437256343594
SRR6267527	0.10663585012780372
SRR6267528	0.2198651892323923
SRR6267529	0.15207737293424886
SRR6267530	0.16361279831232972
SRR6267531	0.21013666437570125
SRR6267532	0.179184722848293
SRR6267533	0.2485321330755709
SRR6267534	0.23668583285822714
SRR6267535	0.26898407282739406
SRR6267536	0.0773971209481321
SRR6267537	0.19188929147296166
SRR6267538	0.22038265591586445
SRR6267539	0.27784334930660676
SRR6267540	0.09348639687634677
SRR6267541	0.3318124467124223
SRR6267542	0.16712550282202712
SRR6267543	0.14698614586395167
SRR6267544	0.11374298609624228
SRR6267545	0.01935166945921541
SRR6267546	0.13113339918134054
SRR6267547	0.12885628836845056
SRR6267548	0.09497490584568692
SRR6267549	0.14301459143515216
SRR6267550	0.019177679586182415
SRR6267551	0.09357390034385718
SRR6267552	0.2121976338334972
SRR6267553	0.19937520124669164
SRR6267554	0.39849411820910746
SRR6267555	0.10936255445365022
SRR6267556	0.09161234223951624
SRR6267557	0.07704046764718615
SRR6267558	0.05209924631105734
SRR6267559	0.0867621650334998
SRR6267560	0.05822135594444245
SRR6267561	0.015123785802628204
SRR6267562	0.08373035795385929
SRR6267563	0.22985105234770228
SRR6267564	0.20320833196231325
SRR6267565	0.08912380716607629
SRR6267566	0.07980550895824294
SRR6267567	0.14957286605579143
SRR6267568	0.07163903846968803
SRR6267569	0.1140200826008917
SRR6267570	0.13821117972915944
SRR6267571	0.2814536700286195
SRR6267572	0.06139280759374779
SRR6267573	0.0954219589369009
SRR6267574	0.1394320216492549
SRR6267575	0.05010888929529357
SRR6267576	0.21327564220203815
SRR6267577	0.06722550463037544
SRR6267578	0.1173586127261354
SRR6267579	0.06291261271308524
SRR6267580	0.2352990418528834
SRR6267581	0.05414946081006649
SRR6267582	0.07377607764555259
SRR6267583	0.1984819140416128
SRR6267584	0.04895060023691467
SRR6267585	0.22826494492154165
SRR6267586	0.10621011894290633
SRR6267587	0.09881231526528654
SRR6267588	0.16450127298027098
SRR6267589	0.16245592222221053
SRR6267590	0.12994132469738967
SRR6267591	0.1433478781097311
SRR6267592	0.05501134658091994
SRR6267593	0.19583963661453133
SRR6267594	0.04611509444473201
SRR6267595	0.16130602080036657
SRR6267596	0.16864956703295336
SRR6267597	0.12566845120494083
SRR6267598	0.159464456693824
SRR6267599	0.30426016107811993
SRR6267600	0.11787661287541615
SRR6267601	0.15797888108163335
SRR6267602	0.22799345677168384
SRR6267603	0.1989332920216824
SRR6267604	0.10661883082855866
SRR6267605	0.17866856471113007
SRR6267606	0.07499513340561728
SRR6267607	0.20218473809644358
SRR6267608	0.12189625335243827
SRR6267609	0.10176957624292202
SRR6267610	0.18266295498049112
SRR6267611	0.25243798253202454
SRR6267612	0.20091464865791414
SRR6267613	0.09947443748521105
SRR6267614	0.18662921986808187
SRR6267615	0.15030760251961883
